time	voltage
0.00	-60.00
0.10	-60.01
0.20	-60.02
0.30	-60.03
0.40	-60.05
0.50	-60.06
0.60	-60.07
0.70	-60.08
0.80	-60.09
0.90	-60.10
1.00	-60.11
1.10	-60.12
1.20	-60.13
1.30	-60.14
1.40	-60.15
1.50	-60.16
1.60	-60.17
1.70	-60.18
1.80	-60.20
1.90	-60.21
2.00	-60.22
2.10	-60.23
2.20	-60.24
2.30	-60.25
2.40	-60.26
2.50	-60.27
2.60	-60.28
2.70	-60.29
2.80	-60.30
2.90	-60.31
3.00	-60.32
3.10	-60.33
3.20	-60.33
3.30	-60.34
3.40	-60.35
3.50	-60.36
3.60	-60.37
3.70	-60.38
3.80	-60.39
3.90	-60.40
4.00	-60.41
4.10	-60.42
4.20	-60.43
4.30	-60.44
4.40	-60.45
4.50	-60.46
4.60	-60.46
4.70	-60.47
4.80	-60.48
4.90	-60.49
5.00	-60.50
5.10	-60.51
5.20	-60.52
5.30	-60.53
5.40	-60.53
5.50	-60.54
5.60	-60.55
5.70	-60.56
5.80	-60.57
5.90	-60.58
6.00	-60.59
6.10	-60.59
6.20	-60.60
6.30	-60.61
6.40	-60.62
6.50	-60.63
6.60	-60.63
6.70	-60.64
6.80	-60.65
6.90	-60.66
7.00	-60.67
7.10	-60.67
7.20	-60.68
7.30	-60.69
7.40	-60.70
7.50	-60.70
7.60	-60.71
7.70	-60.72
7.80	-60.73
7.90	-60.74
8.00	-60.74
8.10	-60.75
8.20	-60.76
8.30	-60.77
8.40	-60.77
8.50	-60.78
8.60	-60.79
8.70	-60.79
8.80	-60.80
8.90	-60.81
9.00	-60.82
9.10	-60.82
9.20	-60.83
9.30	-60.84
9.40	-60.84
9.50	-60.85
9.60	-60.86
9.70	-60.87
9.80	-60.87
9.90	-60.88
10.00	-60.89
10.10	-60.89
10.20	-60.90
10.30	-60.91
10.40	-60.91
10.50	-60.92
10.60	-60.93
10.70	-60.93
10.80	-60.94
10.90	-60.95
11.00	-60.95
11.10	-60.96
11.20	-60.96
11.30	-60.97
11.40	-60.98
11.50	-60.98
11.60	-60.99
11.70	-61.00
11.80	-61.00
11.90	-61.01
12.00	-61.01
12.10	-61.02
12.20	-61.03
12.30	-61.03
12.40	-61.04
12.50	-61.04
12.60	-61.05
12.70	-61.06
12.80	-61.06
12.90	-61.07
13.00	-61.07
13.10	-61.08
13.20	-61.09
13.30	-61.09
13.40	-61.10
13.50	-61.10
13.60	-61.11
13.70	-61.11
13.80	-61.12
13.90	-61.13
14.00	-61.13
14.10	-61.14
14.20	-61.14
14.30	-61.15
14.40	-61.15
14.50	-61.16
14.60	-61.16
14.70	-61.17
14.80	-61.18
14.90	-61.18
15.00	-61.19
15.10	-61.19
15.20	-61.20
15.30	-61.20
15.40	-61.21
15.50	-61.21
15.60	-61.22
15.70	-61.22
15.80	-61.23
15.90	-61.23
16.00	-61.24
16.10	-61.24
16.20	-61.25
16.30	-61.25
16.40	-61.26
16.50	-61.26
16.60	-61.27
16.70	-61.27
16.80	-61.28
16.90	-61.28
17.00	-61.29
17.10	-61.29
17.20	-61.30
17.30	-61.30
17.40	-61.31
17.50	-61.31
17.60	-61.31
17.70	-61.32
17.80	-61.32
17.90	-61.33
18.00	-61.33
18.10	-61.34
18.20	-61.34
18.30	-61.35
18.40	-61.35
18.50	-61.36
18.60	-61.36
18.70	-61.36
18.80	-61.37
18.90	-61.37
19.00	-61.38
19.10	-61.38
19.20	-61.39
19.30	-61.39
19.40	-61.40
19.50	-61.40
19.60	-61.40
19.70	-61.41
19.80	-61.41
19.90	-61.42
20.00	-61.42
20.10	-61.42
20.20	-61.43
20.30	-61.43
20.40	-61.44
20.50	-61.44
20.60	-61.44
20.70	-61.45
20.80	-61.45
20.90	-61.46
21.00	-61.46
21.10	-61.46
21.20	-61.47
21.30	-61.47
21.40	-61.48
21.50	-61.48
21.60	-61.48
21.70	-61.49
21.80	-61.49
21.90	-61.50
22.00	-61.50
22.10	-61.50
22.20	-61.51
22.30	-61.51
22.40	-61.51
22.50	-61.52
22.60	-61.52
22.70	-61.53
22.80	-61.53
22.90	-61.53
23.00	-61.54
23.10	-61.54
23.20	-61.54
23.30	-61.55
23.40	-61.55
23.50	-61.55
23.60	-61.56
23.70	-61.56
23.80	-61.56
23.90	-61.57
24.00	-61.57
24.10	-61.57
24.20	-61.58
24.30	-61.58
24.40	-61.58
24.50	-61.59
24.60	-61.59
24.70	-61.59
24.80	-61.60
24.90	-61.60
25.00	-61.60
25.10	-61.61
25.20	-61.61
25.30	-61.61
25.40	-61.62
25.50	-61.62
25.60	-61.62
25.70	-61.63
25.80	-61.63
25.90	-61.63
26.00	-61.64
26.10	-61.64
26.20	-61.64
26.30	-61.65
26.40	-61.65
26.50	-61.65
26.60	-61.65
26.70	-61.66
26.80	-61.66
26.90	-61.66
27.00	-61.67
27.10	-61.67
27.20	-61.67
27.30	-61.68
27.40	-61.68
27.50	-61.68
27.60	-61.68
27.70	-61.69
27.80	-61.69
27.90	-61.69
28.00	-61.70
28.10	-61.70
28.20	-61.70
28.30	-61.70
28.40	-61.71
28.50	-61.71
28.60	-61.71
28.70	-61.71
28.80	-61.72
28.90	-61.72
29.00	-61.72
29.10	-61.73
29.20	-61.73
29.30	-61.73
29.40	-61.73
29.50	-61.74
29.60	-61.74
29.70	-61.74
29.80	-61.74
29.90	-61.75
30.00	-61.75
30.10	-61.75
30.20	-61.75
30.30	-61.76
30.40	-61.76
30.50	-61.76
30.60	-61.76
30.70	-61.77
30.80	-61.77
30.90	-61.77
31.00	-61.77
31.10	-61.78
31.20	-61.78
31.30	-61.78
31.40	-61.78
31.50	-61.79
31.60	-61.79
31.70	-61.79
31.80	-61.79
31.90	-61.80
32.00	-61.80
32.10	-61.80
32.20	-61.80
32.30	-61.80
32.40	-61.81
32.50	-61.81
32.60	-61.81
32.70	-61.81
32.80	-61.82
32.90	-61.82
33.00	-61.82
33.10	-61.82
33.20	-61.82
33.30	-61.83
33.40	-61.83
33.50	-61.83
33.60	-61.83
33.70	-61.84
33.80	-61.84
33.90	-61.84
34.00	-61.84
34.10	-61.84
34.20	-61.85
34.30	-61.85
34.40	-61.85
34.50	-61.85
34.60	-61.85
34.70	-61.86
34.80	-61.86
34.90	-61.86
35.00	-61.86
35.10	-61.86
35.20	-61.87
35.30	-61.87
35.40	-61.87
35.50	-61.87
35.60	-61.87
35.70	-61.88
35.80	-61.88
35.90	-61.88
36.00	-61.88
36.10	-61.88
36.20	-61.89
36.30	-61.89
36.40	-61.89
36.50	-61.89
36.60	-61.89
36.70	-61.90
36.80	-61.90
36.90	-61.90
37.00	-61.90
37.10	-61.90
37.20	-61.90
37.30	-61.91
37.40	-61.91
37.50	-61.91
37.60	-61.91
37.70	-61.91
37.80	-61.91
37.90	-61.92
38.00	-61.92
38.10	-61.92
38.20	-61.92
38.30	-61.92
38.40	-61.93
38.50	-61.93
38.60	-61.93
38.70	-61.93
38.80	-61.93
38.90	-61.93
39.00	-61.94
39.10	-61.94
39.20	-61.94
39.30	-61.94
39.40	-61.94
39.50	-61.94
39.60	-61.95
39.70	-61.95
39.80	-61.95
39.90	-61.95
40.00	-61.95
40.10	-61.95
40.20	-61.95
40.30	-61.96
40.40	-61.96
40.50	-61.96
40.60	-61.96
40.70	-61.96
40.80	-61.96
40.90	-61.97
41.00	-61.97
41.10	-61.97
41.20	-61.97
41.30	-61.97
41.40	-61.97
41.50	-61.97
41.60	-61.98
41.70	-61.98
41.80	-61.98
41.90	-61.98
42.00	-61.98
42.10	-61.98
42.20	-61.98
42.30	-61.99
42.40	-61.99
42.50	-61.99
42.60	-61.99
42.70	-61.99
42.80	-61.99
42.90	-61.99
43.00	-62.00
43.10	-62.00
43.20	-62.00
43.30	-62.00
43.40	-62.00
43.50	-62.00
43.60	-62.00
43.70	-62.00
43.80	-62.01
43.90	-62.01
44.00	-62.01
44.10	-62.01
44.20	-62.01
44.30	-62.01
44.40	-62.01
44.50	-62.02
44.60	-62.02
44.70	-62.02
44.80	-62.02
44.90	-62.02
45.00	-62.02
45.10	-62.02
45.20	-62.02
45.30	-62.03
45.40	-62.03
45.50	-62.03
45.60	-62.03
45.70	-62.03
45.80	-62.03
45.90	-62.03
46.00	-62.03
46.10	-62.03
46.20	-62.04
46.30	-62.04
46.40	-62.04
46.50	-62.04
46.60	-62.04
46.70	-62.04
46.80	-62.04
46.90	-62.04
47.00	-62.04
47.10	-62.05
47.20	-62.05
47.30	-62.05
47.40	-62.05
47.50	-62.05
47.60	-62.05
47.70	-62.05
47.80	-62.05
47.90	-62.05
48.00	-62.06
48.10	-62.06
48.20	-62.06
48.30	-62.06
48.40	-62.06
